,P4,Cz,F8,T7
1837,3.7774203,-2.0249789,-0.01707588,2.9550836
1845,3.4197788,5.729692,-2.8431835,0.2662185
1847,0.87500995,1.1077454,-0.010809462,-0.574935
1851,0.6816027,6.952846,1.9357988,-3.1918814
1855,-4.283137,-2.4156327,4.399106,-6.7849283
1858,0.90391695,2.4896488,1.3764131,1.1127753
1859,1.6238744,2.0760798,0.36196408,2.61955
1860,2.849902,2.4762366,-1.733526,2.939654
1863,5.6233506,8.81609,-2.9777257,4.33785
1866,6.75125,5.689746,-5.00997,0.9304791
1869,6.449515,6.970743,-8.596001,4.5781636
1871,3.7461317,1.9773653,-8.259033,2.066466
1875,-0.81399655,-3.7648585,-1.4162796,-0.3058691
1876,-0.8968658,-3.2215524,-2.7964487,0.18039346
1881,-1.6741669,1.1956905,6.398254,-0.25842473
1883,3.4576693,5.5626664,-5.756832,0.9800581
1884,4.3667245,4.7236795,-8.103099,0.5469494
